,Name,M,t,r,s,WA,beta,pPhi_000C_575NM,dMag_000C_575NM,pPhi_000C_660NM,dMag_000C_660NM,pPhi_000C_730NM,dMag_000C_730NM,pPhi_000C_760NM,dMag_000C_760NM,pPhi_000C_825NM,dMag_000C_825NM,pPhi_001C_575NM,dMag_001C_575NM,pPhi_001C_660NM,dMag_001C_660NM,pPhi_001C_730NM,dMag_001C_730NM,pPhi_001C_760NM,dMag_001C_760NM,pPhi_001C_825NM,dMag_001C_825NM,pPhi_003C_575NM,dMag_003C_575NM,pPhi_003C_660NM,dMag_003C_660NM,pPhi_003C_730NM,dMag_003C_730NM,pPhi_003C_760NM,dMag_003C_760NM,pPhi_003C_825NM,dMag_003C_825NM,pPhi_010C_575NM,dMag_010C_575NM,pPhi_010C_660NM,dMag_010C_660NM,pPhi_010C_730NM,dMag_010C_730NM,pPhi_010C_760NM,dMag_010C_760NM,pPhi_010C_825NM,dMag_010C_825NM,pPhi_030C_575NM,dMag_030C_575NM,pPhi_030C_660NM,dMag_030C_660NM,pPhi_030C_730NM,dMag_030C_730NM,pPhi_030C_760NM,dMag_030C_760NM,pPhi_030C_825NM,dMag_030C_825NM,pPhi_100C_575NM,dMag_100C_575NM,pPhi_100C_660NM,dMag_100C_660NM,pPhi_100C_730NM,dMag_100C_730NM,pPhi_100C_760NM,dMag_100C_760NM,pPhi_100C_825NM,dMag_100C_825NM,pPhi_300C_575NM,dMag_300C_575NM,pPhi_300C_660NM,dMag_300C_660NM,pPhi_300C_730NM,dMag_300C_730NM,pPhi_300C_760NM,dMag_300C_760NM,pPhi_300C_825NM,dMag_300C_825NM,pPhi_600C_575NM,dMag_600C_575NM,pPhi_600C_660NM,dMag_600C_660NM,pPhi_600C_730NM,dMag_600C_730NM,pPhi_600C_760NM,dMag_600C_760NM,pPhi_600C_825NM,dMag_600C_825NM,dMag_min_575NM,dMag_max_575NM,dMag_med_575NM,pPhi_min_575NM,pPhi_max_575NM,pPhi_med_575NM,dMag_min_660NM,dMag_max_660NM,dMag_med_660NM,pPhi_min_660NM,pPhi_max_660NM,pPhi_med_660NM,dMag_min_730NM,dMag_max_730NM,dMag_med_730NM,pPhi_min_730NM,pPhi_max_730NM,pPhi_med_730NM,dMag_min_760NM,dMag_max_760NM,dMag_med_760NM,pPhi_min_760NM,pPhi_max_760NM,pPhi_med_760NM,dMag_min_825NM,dMag_max_825NM,dMag_med_825NM,pPhi_min_825NM,pPhi_max_825NM,pPhi_med_825NM
0,HD 192310 c,0.18128517957881485,0.0,0.8446244787221898,0.5547077311131309,63.05739781457649,41.05253219221794,0.2792908347757673,19.265652222429516,0.19440609256314828,19.65901925439424,0.11516443838040533,20.227497947627427,0.0731006462945178,20.720990891079655,0.04054064490219956,21.3610673002552,0.4642935119353845,18.71381239555397,0.4686906384274,18.70357823503663,0.4713722250328536,18.69738396085776,0.47225194586708064,18.695359542522635,0.47369393294865797,18.69204937683762,0.45722592961527136,18.730466803739812,0.46344006013840044,18.715810003066053,0.4672369033982101,18.706951090203535,0.4686219040576424,18.703737471983768,0.4709931184305016,18.698257528182147,0.4537795590327523,18.73868161081528,0.46072915767447586,18.722179688049916,0.4654829719677238,18.71103443644636,0.46742207108463785,18.706520894229975,0.470821130700172,18.698654067749988,0.4837999545332442,18.669129374655476,0.48642381896247544,18.663256849924117,0.4870698365817768,18.66181584449557,0.4876948318814218,18.660423549227655,0.4877478793984869,18.660305458007656,0.5382214053486071,18.55339151795596,0.5360576708570801,18.557765145077084,0.5297795765430338,18.57055590303628,0.5279823786438661,18.574245362076336,0.5214401947040913,18.587782669471206,0.4576650953205259,18.729424454149076,0.4423130855430093,18.76646946299053,0.42727057141418223,18.80403647897369,0.4214656839785724,18.81888838306091,0.41213448199068436,18.843196552452774,0.37233929846372765,18.95344674231807,0.3271765188617783,19.09383861461379,0.2879448655809813,19.23252058538869,0.268934511491922,19.306677589186606,0.2531185364927051,19.372484055745687,18.55339151795596,19.265652222429516,18.729945628944442,0.2792908347757673,0.5382214053486071,0.45744551246789866,18.557765145077084,19.65901925439424,18.718994845557987,0.19440609256314828,0.5360576708570801,0.46208460890643815,18.57055590303628,20.227497947627427,18.70899276332495,0.11516443838040533,0.5297795765430338,0.46635993768296696,18.574245362076336,20.720990891079655,18.70512918310687,0.0731006462945178,0.5279823786438661,0.4680219875711401,18.587782669471206,21.3610673002552,18.69845579796607,0.04054064490219956,0.5214401947040913,0.4709071245653368
1,HD 192310 c,0.2447516978314681,5.455555555410683,0.8555334780171591,0.6375425710644727,72.47379705104728,48.17618219417929,0.25705022582886755,19.383615682100025,0.17954244823277793,19.77324279920086,0.10678641080743083,20.33737068220283,0.06801376661078908,20.827168589485115,0.037767499120013294,21.46586508706379,0.4223871704658243,18.844383860168733,0.4263220537937751,18.83431615787409,0.42871498351320303,18.82823900074167,0.4294980911131265,18.82625756155232,0.4307783275593046,18.82302604187744,0.413277069290628,18.86805738375036,0.4189237294756358,18.853323253488014,0.4223765925155188,18.844411050879607,0.423636384582791,18.841177523957636,0.42579804347643047,18.83565150261422,0.40763286131229093,18.882987688011145,0.4138763138161531,18.866484225484967,0.4181633977243771,18.855295616722778,0.41990784516520463,18.8507756848071,0.42296417034451544,18.842901707777223,0.43405770285842715,18.81479198725607,0.4363680637486989,18.809028260004993,0.4369635679578635,18.807547584035614,0.4375239545350577,18.806156067145658,0.43756771185648613,18.806047486730684,0.482835977415455,18.699161598749967,0.48073879392953356,18.70388773252134,0.47505022760386256,18.716811830208595,0.47337644817546265,18.720644039608125,0.4674130601764094,18.73440854891403,0.41074245202395143,18.87473667796467,0.3966190118570171,18.91272683599118,0.38286253547813104,18.951053478725957,0.37758894833556367,18.966112470392286,0.3690891663612096,18.99083241193578,0.3344522649352077,19.09782530303906,0.29337378696914357,19.240107389205757,0.25776730385600144,19.380591083929605,0.2406141535626761,19.455357731199395,0.22615325540030046,19.52265354734456,18.699161598749967,19.383615682100025,18.871397030857516,0.25705022582886755,0.482835977415455,0.4120097606572897,18.70388773252134,19.77324279920086,18.85990373948649,0.17954244823277793,0.48073879392953356,0.4164000216458944,18.716811830208595,20.33737068220283,18.849853333801192,0.10678641080743083,0.47505022760386256,0.42026999511994795,18.720644039608125,20.827168589485115,18.84597660438237,0.06801376661078908,0.47337644817546265,0.4217721148739978,18.73440854891403,21.46586508706379,18.83927660519572,0.037767499120013294,0.4674130601764094,0.4243811069104729
2,HD 192310 c,0.3082182160895428,10.911111111287028,0.8692717647345423,0.712912595331731,81.04161995479008,55.09743416824743,0.23455933263691786,19.51762168644845,0.16454580549294778,19.902536439776778,0.09836487170138819,20.4611534051595,0.06292437918406306,20.946206131081308,0.03500395466874487,21.58296069788178,0.3802880526775846,18.992971775717272,0.38375917165381507,18.983106559662694,0.38586345194910376,18.97716936674571,0.3865502340000489,18.97523862847022,0.38766989431713017,18.97209829009277,0.3696923378687794,19.02365235571572,0.3747498919591855,19.00889968896066,0.37784507415685625,18.99996906765499,0.37897457853660144,18.996728283130796,0.3809169185266961,18.991177823755628,0.36268410572531956,19.044432171071563,0.36821335881402883,19.02800462800007,0.37201947616531034,19.016839287499415,0.373566010047621,19.01233509511066,0.3762733013111164,19.004494970247777,0.38572758833392773,18.977551724859605,0.3877308497098177,18.971927587453234,0.3882439929336159,18.970491617556014,0.38874710941535323,18.96908554777188,0.38876955416520725,18.96902286338537,0.4288964856178978,18.862372260641745,0.42690325113538935,18.867429824140586,0.4217327080574051,18.880660268182435,0.4202695579902135,18.884433646625666,0.4149000221029424,18.89839483482974,0.36536140857057187,19.036446797419906,0.3525778142679439,19.075116026936833,0.3401475318782573,19.1140851696103,0.33546700488186637,19.129128951657435,0.3277507317013292,19.154394304935664,0.2981547677412867,19.257149083579588,0.26136250102408976,19.400145286422216,0.22950961684750887,19.541251259892633,0.2142338129812131,19.616033435909213,0.20118219120120184,19.684279644714202,18.862372260641745,19.51762168644845,19.030049576567812,0.23455933263691786,0.4288964856178978,0.36752687321967564,18.867429824140586,19.902536439776778,19.018452158480365,0.16454580549294778,0.42690325113538935,0.3714816253866072,18.880660268182435,20.4611534051595,19.008404177577205,0.09836487170138819,0.4217327080574051,0.3749322751610833,18.884433646625666,20.946206131081308,19.00453168912073,0.06292437918406306,0.4202695579902135,0.37627029429211123,18.89839483482974,21.58296069788178,18.997836397001702,0.03500395466874487,0.4149000221029424,0.37859510991890627
3,HD 192310 c,0.37168473434219607,16.36666666669771,0.8855548598052959,0.7803227934640681,88.7045953235662,61.7836069418134,0.2124402346223546,19.665461035948912,0.14979549985400079,20.04480605063463,0.09008971346093499,20.596864952908685,0.05793314934985126,21.076235121503156,0.032300835425542455,21.710518579359196,0.33940276624088056,19.156764522834724,0.3424255167369684,19.147137667408497,0.34425161506549223,19.14136300082729,0.34484579773793783,19.139490621719165,0.3458115608150536,19.136454196758276,0.3277845469170481,19.194581778603876,0.33225876730713777,19.1798618432016,0.33499928303874454,19.17094327300594,0.3359995832418016,19.16770612014262,0.3377236985864788,19.162149124896104,0.3199796322765394,19.220747129492317,0.3248135540250008,19.204467608267745,0.3281464710218636,19.19338362168461,0.3294996855678342,19.18891545568313,0.3318657038360008,19.181147033884233,0.33987532903274714,19.15525386433272,0.3415862600429477,19.149801983626354,0.3420058552808891,19.148469113371775,0.3424531678809365,19.147049996850775,0.3424506716543131,19.147057911081838,0.3776320788957267,19.04088076837785,0.37576310715343375,19.046267621085374,0.37108248625495527,19.059876822644306,0.36984239720405643,19.063511228417337,0.365058810400925,19.07764588129284,0.3224131878068312,19.212520972840487,0.31099177490351676,19.251680709477075,0.2998974145859237,19.291121162608658,0.29575848388272036,19.30620993869611,0.28880489374971313,19.332041596906695,0.26400596778045893,19.429518606708825,0.23148082418277624,19.57226541694418,0.20334683894215985,19.7129594028749,0.18989484193883885,19.78727004623124,0.17826078201293272,19.85591344842237,19.04088076837785,19.665461035948912,19.20355137572218,0.2124402346223546,0.3776320788957267,0.32509886736193966,19.046267621085374,20.04480605063463,19.19216472573467,0.14979549985400079,0.37576310715343375,0.3285361606660693,19.059876822644306,20.596864952908685,19.182163447345275,0.09008971346093499,0.37108248625495527,0.3315728770303041,19.063511228417337,21.076235121503156,19.178310787912874,0.05793314934985126,0.36984239720405643,0.3327496344048179,19.07764588129284,21.710518579359196,19.171648079390167,0.032300835425542455,0.365058810400925,0.3347947012112398
4,HD 192310 c,0.4351512525948493,21.822222222108394,0.9040738156832815,0.8394898024597849,95.4305113591226,68.21196218211473,0.191161848188943,19.824992017081623,0.13557671974436697,20.19803226380859,0.08210244179282596,20.742604884908413,0.05311406082786885,21.215471302331082,0.029694738153636848,21.846796318737304,0.3007403346493756,19.333015872226703,0.30334233055144516,19.323662521137702,0.3049081743372425,19.318072399859638,0.3054159836322126,19.316265664679026,0.30623846588268616,19.313345717653213,0.28846192205574916,19.378273836501524,0.2923798400184289,19.36362650852758,0.29478161549176063,19.3547440823846,0.29565856181994077,19.351518918803805,0.29717394715477913,19.34596823701491,0.2802090650813886,19.40978961611599,0.2843862734697619,19.393723492899188,0.2872702074690852,19.382768598749564,0.28844023978940764,19.378355449028348,0.2904831574802204,19.370692677346682,0.2972080275803714,19.34584373003606,0.2986472488131631,19.34059877308147,0.2989835272190292,19.33937691606439,0.299365339783671,19.33799127700333,0.2993451005398556,19.338064683038354,0.3298766523888396,19.232616122200174,0.3281389998088078,19.23835044385849,0.32399020213663965,19.252165376846577,0.3228942252658642,19.255844373762653,0.3186740141331359,19.27012844154045,0.28248407495402983,19.401010145146117,0.27238093329186497,19.440553309800606,0.2625947797411728,19.480279848176565,0.2589034985610823,19.49565027112576,0.2527699245317441,19.521681571917547,0.23234722866021393,19.613151326946717,0.20390507122307075,19.754925001263405,0.17931276594198764,19.894467044606195,0.16760464998374552,19.96777991029563,0.1573277956677712,20.036481424430317,19.232616122200174,19.824992017081623,19.38964199082382,0.191161848188943,0.3298766523888396,0.2854729985048895,19.23835044385849,20.19803226380859,19.378675000713386,0.13557671974436697,0.3281389998088078,0.2883830567440954,19.252165376846577,20.742604884908413,19.36875634056708,0.08210244179282596,0.32399020213663965,0.2910259114804229,19.255844373762653,21.215471302331082,19.364937183916076,0.05311406082786885,0.3228942252658642,0.29204940080467423,19.27012844154045,21.846796318737304,19.3583304571808,0.029694738153636848,0.3186740141331359,0.29382855231749977
5,HD 192310 c,0.4986177708529169,27.27777777798474,0.9245108612986173,0.8903197776182212,101.20870009652862,74.36903903951544,0.17105309724029805,19.99420834582203,0.12209168628776325,20.3603204713634,0.0745028472311698,20.896603526012232,0.048519121440073025,21.362253380915632,0.02721071651248561,21.99018575718558,0.264953999031535,19.519109504515782,0.26717085322565715,19.510063008100843,0.26849906736529094,19.504678747835236,0.2689282279187798,19.5029447263082,0.26962059185803705,19.500153057355398,0.25229542337475236,19.572262270336168,0.2556983289949647,19.55771597688003,0.2577865201882812,19.548885191382496,0.25854915821948854,19.54567788126092,0.25987101330038365,19.540141101992504,0.2437921581864033,19.609486371614164,0.24736449525100215,19.59369229021052,0.24983396800811658,19.582906987258635,0.25083511851314316,19.578564850594894,0.2525805733134029,19.5710358398973,0.2581612295752324,19.547308149446025,0.2593530714761612,19.54230721251599,0.25961526361069753,19.54121014551578,0.25993633653963105,19.539868217023646,0.25989972894893804,19.540021135181075,0.2861544834807478,19.435534314507265,0.28454666853716276,19.441651938440824,0.2809254733491212,19.45555789834597,0.27992178249458405,19.45944396411936,0.2762392800936788,19.473822117789616,0.24593664663494594,19.59997758385828,0.2370643561700139,19.639870050349188,0.22847965653257418,19.679916858530177,0.2252715172689333,19.695269991221693,0.21985036461525093,19.72171772606127,0.2033790593592983,19.80627011570286,0.17872622618862546,19.946564988322002,0.15740927983532962,20.084459871668592,0.1473193942454501,20.15638589052596,0.13829112808372387,20.225049903325942,19.435534314507265,19.99420834582203,19.586119927097222,0.17105309724029805,0.2861544834807478,0.24911603500484913,19.441651938440824,20.3603204713634,19.575704133545273,0.12209168628776325,0.28454666853716276,0.2515314121229834,19.45555789834597,20.896603526012232,19.565896089320567,0.0745028472311698,0.2809254733491212,0.25381024409819886,19.45944396411936,21.362253380915632,19.562121365927908,0.048519121440073025,0.27992178249458405,0.2546921383663159,19.473822117789616,21.99018575718558,19.5555884709449,0.02721071651248561,0.2762392800936788,0.25622579330689327
6,HD 192310 c,0.5620842891055702,32.73333333339542,0.9465523146133751,0.9328787977109779,106.04667315885031,80.24943842813798,0.15233381834309476,20.17120790201188,0.10947749690534003,20.52988657438162,0.06735983191842576,21.057196235208817,0.04418413270792269,21.51503288565216,0.024866059799074785,22.139181287910517,0.23241151377372696,19.712554623725303,0.23428315626529506,19.70384605668783,0.23539894032130165,19.698687463528483,0.2357579568113866,19.69703282457825,0.23633458470342597,19.69438052217842,0.21959512206974796,19.774142000287213,0.22253270123102337,19.75971412302795,0.2243376269885283,19.75094341808399,0.22499694396830996,19.7477571739115,0.22614374663232117,19.742237264579895,0.21094205078236547,19.81779081244225,0.21396882547276685,19.802322465388414,0.21606427914363024,19.79174128966796,0.21691322929584744,19.7874836223318,0.21839065245304828,19.78011360778271,0.22295679666470883,19.757646932183285,0.2239273748259471,19.75293075034751,0.22412309606737743,19.75198218912424,0.22439324341537165,19.75067428229461,0.22433899667594823,19.75093678917068,0.24673901143533716,19.64760417124572,0.24525383623745525,19.65415919897997,0.24210707427032369,19.668180023387908,0.24119536351018794,19.67227633442362,0.23800557610254905,19.686730892167084,0.21295547963622527,19.807476673362633,0.20520138745738178,19.847747989959245,0.19770473319844417,19.888156055298346,0.19497128466322766,19.903272089084464,0.19017188298627652,19.93033295553063,0.17719574539178795,20.007065497409965,0.15597507758328422,20.14556069641619,0.13762426770183547,20.281461169459433,0.12899607902706775,20.351757448082722,0.1211054689279104,20.420289333163506,19.64760417124572,20.17120790201188,19.79080933682492,0.15233381834309476,0.24673901143533716,0.21627530085298663,19.65415919897997,20.52988657438162,19.78101829420818,0.10947749690534003,0.24525383623745525,0.2182507633518951,19.668180023387908,21.057196235208817,19.7718617393961,0.06735983191842576,0.24210707427032369,0.22009368760550385,19.67227633442362,21.51503288565216,19.769078952313205,0.04418413270792269,0.24119536351018794,0.22065323635560954,19.686730892167084,22.139181287910517,19.765525198476695,0.024866059799074785,0.23800557610254905,0.22136482456449824
7,HD 192310 c,0.6255508073582234,38.188888888806105,0.9698982709471967,0.9673605218006163,109.96644508791474,85.85434055552057,0.13512567553013138,20.35426184342193,0.09781193016744906,20.705126965925604,0.06071330950938422,21.222896770973758,0.040129704065423974,21.672441646075924,0.022670498348622684,22.292453871224332,0.2032510199284067,19.91102470474832,0.20481877014802785,19.90268215359878,0.205748150415673,19.89776668926129,0.20604574806721174,19.896197396456472,0.2065212712213086,19.893694564629914,0.1904599424860726,19.981597416609194,0.19298551471208544,19.96729475736003,0.19453955890870048,19.9585867216344,0.19510742057484226,19.95542207035161,0.19609904424377808,19.94991784625746,0.18169781927169038,20.03273225133489,0.18424119216693785,20.0176397008591,0.18600545277370348,20.00729234922311,0.1867196875148193,20.003131259012203,0.18795988409450323,19.99594361737247,0.19163326767585906,19.9749292759101,0.19240894040163875,19.970543418892774,0.19254654300871346,19.969767224526557,0.19277356045365326,19.96848786699817,0.19270187313304749,19.968891698285557,0.2116883928825019,19.866863924211962,0.21031527336496497,19.873929506595506,0.2075640316465957,19.888226294532036,0.20677694779341685,19.892351237542176,0.20401763572617496,19.90693726272071,0.18356726340159985,20.021618454842177,0.17680712615672986,20.062357125892877,0.17030148803911846,20.10306043197208,0.1679480124412127,20.118169367213405,0.16375274832278983,20.145635044606767,0.15379151713176284,20.213775585705285,0.1356178594445072,20.35031432545845,0.11990941473942701,20.48397333059013,0.11257332786951921,20.552517776723587,0.10571957338274254,20.620718033916354,19.866863924211962,20.35426184342193,20.001607935725687,0.13512567553013138,0.2116883928825019,0.18701360294383623,19.873929506595506,20.705126965925604,19.994091559875937,0.09781193016744906,0.21031527336496497,0.1883250662842883,19.888226294532036,21.222896770973758,19.988529786874835,0.06071330950938422,0.2075640316465957,0.18927599789120847,19.892351237542176,21.672441646075924,19.985809563005187,0.040129704065423974,0.20677694779341685,0.18974662398423628,19.893694564629914,22.292453871224332,19.98241765782901,0.022670498348622684,0.2065212712213086,0.19033087861377534
8,HD 192310 c,0.6890173256162981,43.64444444468245,0.99426913235292,0.9940546974845876,113.0009534623665,91.18998410479607,0.1194515171781088,20.54201622126125,0.08711325090361322,20.88478484397164,0.0545733563902574,21.392543734869566,0.036360998383779486,21.833405898285076,0.020625629375035273,22.448977372764723,0.17739276550340197,20.112655635969368,0.17869657630915448,20.104704817139464,0.1794646484393055,20.100048115406793,0.17970924770015034,20.09856933135781,0.1800977607874574,20.096224613890396,0.16478836232122773,20.192679052440266,0.1669541884978752,20.178502099270617,0.1682891233318365,20.169855276561517,0.1687771598971658,20.166711210454235,0.16963314996081008,20.16121858001107,0.15592721666642378,20.25269057994167,0.1580478599562333,20.238023847570798,0.1595225692253972,20.227940057600676,0.1601186654495491,20.223890492449755,0.1611524441711,20.216903154802793,0.16404611842812059,20.19758049972348,0.16465202213681998,20.19357772479381,0.16474516484298551,20.192963703697174,0.16493131574928419,20.191737587720485,0.16484892810954835,20.19228007773808,0.18084582592981896,20.091724173370757,0.17957333467203238,20.099390777815866,0.17715985849010432,20.11408208494163,0.1765002915225563,20.118131829117516,0.17411759837363933,20.13288872610279,0.15763724536454596,20.2408483037919,0.15174730818907417,20.28219290680889,0.1461127283067143,20.32327527111177,0.14408475408938573,20.338450322637605,0.1404354586071233,20.366303454637745,0.1330540449130026,20.424925192048406,0.11754656908732698,20.559470502736335,0.10415739832763256,20.690770088141683,0.09795233221442025,20.757458444546394,0.09201949292159267,20.82529580739061,20.091724173370757,20.54201622126125,20.21921440175769,0.1194515171781088,0.18084582592981896,0.16084168189633327,20.099390777815866,20.88478484397164,20.215800786182303,0.08711325090361322,0.17957333467203238,0.16134994104652664,20.100048115406793,21.392543734869566,20.210451880648925,0.0545733563902574,0.1794646484393055,0.16213386703419136,20.09856933135781,21.833405898285076,20.20781404008512,0.036360998383779486,0.17970924770015034,0.16252499059941666,20.096224613890396,22.448977372764723,20.204591616270434,0.020625629375035273,0.1800977607874574,0.16300068614032417
9,HD 192310 c,0.7524838438689514,49.10000000009313,1.019409390907325,1.0133188288567105,115.19083820229298,96.26626080478152,0.10527766052217498,20.733378199641255,0.07736547970864724,21.067850706510917,0.04893277540221191,21.565219140712436,0.03287410329864993,21.9970839746725,0.01872862564945346,22.60795399089028,0.1546513953095843,20.31583415666028,0.15572859686299062,20.308297836976983,0.156358760782647,20.303913213918147,0.15655822222038715,20.30252906064107,0.1568728721447985,20.300349143359966,0.14238174441247917,20.405582989725378,0.14423692569373425,20.391527620531626,0.145382597365755,20.38293770443581,0.14580169792791486,20.37981230945169,0.14654041184414648,20.374325243961845,0.13341594832882334,20.476199394501755,0.13517097484911317,20.462010148568204,0.13639534730912353,20.45221987336228,0.13688887334696834,20.448298390676563,0.13774523156627494,20.441527329692125,0.13996277042893354,20.424187437530563,0.1404221630881841,20.420629616627615,0.1404844801338136,20.42014789164634,0.14063131478996024,20.419013670662185,0.14054718249171663,20.419663403737808,0.15395066740849916,20.32076482337541,0.15276748772908183,20.329141421664254,0.15065479751146782,20.344261348187537,0.1501003903162562,20.34826420945273,0.14804984981301636,20.363198835473497,0.13495192606797163,20.46377104513505,0.12981471098811687,20.505908986398,0.1249248324050759,20.547596824677676,0.123198640128453,20.56270397814105,0.12001105047897181,20.591165670320013,0.11481849352058882,20.639189152389548,0.10161609700435582,20.771812488429106,0.09023735918769904,20.90075282057755,0.08501399934324823,20.96549264506583,0.07988152924277162,21.033102837474146,20.31583415666028,20.733378199641255,20.443979241332805,0.10527766052217498,0.1546513953095843,0.13745734824845257,20.308297836976983,21.067850706510917,20.44131988259791,0.07736547970864724,0.15572859686299062,0.13779656896864861,20.303913213918147,21.565219140712436,20.43618388250431,0.04893277540221191,0.156358760782647,0.13843991372146858,20.30252906064107,21.9970839746725,20.433656030669376,0.03287410329864993,0.15655822222038715,0.1387600940684643,20.300349143359966,22.60795399089028,20.430595366714968,0.01872862564945346,0.1568728721447985,0.13914620702899577
